"question_id","audio_path","existing_media_duration_ms","detected_media_duration_ms","status","note"
"sondheim-260217-079","2026-02-17/audio-009.mp3",,"19849","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-009.mp3"
"sondheim-260217-080","2026-02-17/audio-010.mp3",,"20627","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-010.mp3"
"sondheim-260217-081","2026-02-17/audio-011.mp3",,"21196","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-011.mp3"
"sondheim-260217-082","2026-02-17/audio-012.mp3",,"14775","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-012.mp3"
"sondheim-260217-083","2026-02-17/audio-013.mp3",,"17088","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-013.mp3"
"sondheim-260217-084","2026-02-17/audio-014.mp3",,"17555","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-014.mp3"
"sondheim-260217-085","2026-02-17/audio-015.mp3",,"28006","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-015.mp3"
"sondheim-260217-086","2026-02-17/audio-016.mp3",,"23207","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-016.mp3"
"sondheim-260217-087","2026-02-17/audio-017.mp3",,"22972","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-017.mp3"
"sondheim-260217-088","2026-02-17/audio-018.mp3",,"28494","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-018.mp3"
"sondheim-260217-089","2026-02-17/audio-019.mp3",,"30864","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-019.mp3"
"sondheim-260217-090","2026-02-17/audio-020.mp3",,"19599","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-17\audio-020.mp3"
